"","X.3","X.2","X.1","X","day","month","year","time","Cosit","LaneNumber","LaneDescription","LaneDirection","DirectionDescription","Volume","Flags","Flag.Text","AvgSpeed","PmlHGV","Class2Volume"
"121",121,121,121,241,2,2,18,"16:00",1083,1,"NB_NS",1,"North",894,0,NA,9314,45,834
"122",122,122,122,242,2,2,18,"16:00",1083,2,"NB_MID",1,"North",817,0,NA,10472,31,784
"123",123,123,123,243,2,2,18,"16:00",1083,3,"NB_OS",1,"North",997,0,NA,10888,31,961
"124",124,124,124,247,2,2,18,"17:00",1083,1,"NB_NS",1,"North",924,0,NA,10395,26,881
"125",125,125,125,248,2,2,18,"17:00",1083,2,"NB_MID",1,"North",834,0,NA,11780,18,806
"126",126,126,126,249,2,2,18,"17:00",1083,3,"NB_OS",1,"North",890,0,NA,12447,13,873
"127",127,127,127,253,2,2,18,"18:00",1083,1,"NB_NS",1,"North",654,0,NA,13454,23,630
"128",128,128,128,254,2,2,18,"18:00",1083,2,"NB_MID",1,"North",608,0,NA,13998,15,595
"129",129,129,129,255,2,2,18,"18:00",1083,3,"NB_OS",1,"North",594,0,NA,14723,10,588
"130",130,130,130,259,2,2,18,"19:00",1083,1,"NB_NS",1,"North",400,0,NA,14424,25,382
"131",131,131,131,260,2,2,18,"19:00",1083,2,"NB_MID",1,"North",477,0,NA,15204,8,467
"132",132,132,132,261,2,2,18,"19:00",1083,3,"NB_OS",1,"North",387,0,NA,15786,5,384
"133",133,133,133,265,2,2,18,"20:00",1083,1,"NB_NS",1,"North",342,0,NA,15399,15,334
"134",134,134,134,266,2,2,18,"20:00",1083,2,"NB_MID",1,"North",402,0,NA,15826,5,396
"135",135,135,135,267,2,2,18,"20:00",1083,3,"NB_OS",1,"North",266,0,NA,16400,8,263
"136",136,136,136,271,2,2,18,"21:00",1083,1,"NB_NS",1,"North",230,0,NA,15265,22,219
"137",137,137,137,272,2,2,18,"21:00",1083,2,"NB_MID",1,"North",298,0,NA,16093,20,291
"138",138,138,138,273,2,2,18,"21:00",1083,3,"NB_OS",1,"North",172,0,NA,16428,12,169
"139",139,139,139,277,2,2,18,"22:00",1083,1,"NB_NS",1,"North",220,0,NA,15780,41,207
"140",140,140,140,278,2,2,18,"22:00",1083,2,"NB_MID",1,"North",319,0,NA,15640,19,312
"141",141,141,141,279,2,2,18,"22:00",1083,3,"NB_OS",1,"North",169,0,NA,17326,18,162
"142",142,142,142,283,2,2,18,"23:00",1083,1,"NB_NS",1,"North",143,0,NA,15068,35,132
"143",143,143,143,284,2,2,18,"23:00",1083,2,"NB_MID",1,"North",234,0,NA,16295,9,232
"144",144,144,144,285,2,2,18,"23:00",1083,3,"NB_OS",1,"North",119,0,NA,17078,8,118
"145",289,289,289,577,5,2,18,"00:00",1083,1,"NB_NS",1,"North",47,0,NA,15727,0,47
"146",290,290,290,578,5,2,18,"00:00",1083,2,"NB_MID",1,"North",69,0,NA,16771,0,69
"147",291,291,291,579,5,2,18,"00:00",1083,3,"NB_OS",1,"North",15,0,NA,17074,0,15
"148",292,292,292,583,5,2,18,"01:00",1083,1,"NB_NS",1,"North",19,0,NA,16374,53,17
"149",293,293,293,584,5,2,18,"01:00",1083,2,"NB_MID",1,"North",38,0,NA,15724,0,37
"150",294,294,294,585,5,2,18,"01:00",1083,3,"NB_OS",1,"North",10,0,NA,15722,0,9
"151",295,295,295,589,5,2,18,"02:00",1083,1,"NB_NS",1,"North",27,0,NA,18354,74,25
"152",296,296,296,590,5,2,18,"02:00",1083,2,"NB_MID",1,"North",28,0,NA,16141,0,27
"153",297,297,297,591,5,2,18,"02:00",1083,3,"NB_OS",1,"North",8,0,NA,15694,250,6
"154",298,298,298,595,5,2,18,"03:00",1083,1,"NB_NS",1,"North",27,0,NA,17346,0,26
"155",299,299,299,596,5,2,18,"03:00",1083,2,"NB_MID",1,"North",28,0,NA,17054,71,26
"156",300,300,300,597,5,2,18,"03:00",1083,3,"NB_OS",1,"North",8,0,NA,15764,125,7
"157",301,301,301,601,5,2,18,"04:00",1083,1,"NB_NS",1,"North",44,0,NA,15758,45,42
"158",302,302,302,602,5,2,18,"04:00",1083,2,"NB_MID",1,"North",65,0,NA,16795,15,63
"159",303,303,303,603,5,2,18,"04:00",1083,3,"NB_OS",1,"North",22,0,NA,16919,91,20
"160",304,304,304,607,5,2,18,"05:00",1083,1,"NB_NS",1,"North",177,0,NA,16012,23,164
"161",305,305,305,608,5,2,18,"05:00",1083,2,"NB_MID",1,"North",139,0,NA,16739,50,130
"162",306,306,306,609,5,2,18,"05:00",1083,3,"NB_OS",1,"North",58,0,NA,17601,0,58
"163",307,307,307,613,5,2,18,"06:00",1083,1,"NB_NS",1,"North",326,0,NA,15088,43,298
"164",308,308,308,614,5,2,18,"06:00",1083,2,"NB_MID",1,"North",483,0,NA,15197,35,461
"165",309,309,309,615,5,2,18,"06:00",1083,3,"NB_OS",1,"North",421,0,NA,15983,19,411
"166",310,310,310,619,5,2,18,"07:00",1083,1,"NB_NS",1,"North",823,0,NA,10961,27,780
"167",311,311,311,620,5,2,18,"07:00",1083,2,"NB_MID",1,"North",1114,0,NA,8917,27,1077
"168",312,312,312,621,5,2,18,"07:00",1083,3,"NB_OS",1,"North",1193,0,NA,9328,24,1158
"169",313,313,313,625,5,2,18,"08:00",1083,1,"NB_NS",1,"North",768,0,NA,6526,47,720
"170",314,314,314,626,5,2,18,"08:00",1083,2,"NB_MID",1,"North",934,0,NA,5909,41,884
"171",315,315,315,627,5,2,18,"08:00",1083,3,"NB_OS",1,"North",908,0,NA,6460,22,878
"172",316,316,316,631,5,2,18,"09:00",1083,1,"NB_NS",1,"North",664,0,NA,9949,51,616
